,act_sum,work_sum,home_sum
2019-09-26,0.0,0.0,0.0
2019-09-27,0.0,0.0,0.0
2019-09-28,0.0,0.0,0.0
2019-09-29,0.0,0.0,0.0
2019-09-30,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0
2019-10-02,16.7,2.0,11.5
2019-10-03,0.1,0.30000000000000004,0.0
2019-10-04,0.0,0.0,0.0
2019-10-05,0.6,0.6,0.0
2019-10-06,0.0,0.0,0.0
2019-10-07,22.2,13.8,1.8000000000000003
2019-10-08,0.0,0.0,0.0
2019-10-09,0.0,0.0,0.0
2019-10-10,0.0,0.0,0.0
2019-10-11,0.0,0.0,0.0
2019-10-12,0.0,0.0,0.0
2019-10-13,0.0,0.0,0.0
2019-10-14,0.0,0.0,0.0
2019-10-15,0.0,0.0,0.0
2019-10-16,0.0,0.0,0.0
2019-10-17,0.0,0.0,0.0
2019-10-18,0.0,0.0,0.0
2019-10-19,0.0,0.0,0.0
2019-10-20,0.0,0.0,0.0
2019-10-21,0.0,0.0,0.0
2019-10-22,0.0,0.0,0.0
2019-10-23,0.0,0.0,0.0
2019-10-24,0.0,0.0,0.0
2019-10-25,0.0,0.0,0.0
2019-10-26,0.0,0.0,0.0
2019-10-27,0.0,0.0,0.0
2019-10-28,1.3,0.0,1.1
2019-10-29,0.0,0.0,0.0
2019-10-30,0.0,0.0,0.0
2019-10-31,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0
2019-11-02,0.0,0.0,0.0
2019-11-03,0.0,0.0,0.0
2019-11-04,0.0,0.0,0.0
2019-11-05,0.0,0.0,0.0
2019-11-06,0.0,0.0,0.0
2019-11-07,0.0,0.0,0.0
2019-11-08,0.0,0.0,0.0
2019-11-09,0.0,0.0,0.0
2019-11-10,11.8,0.0,11.8
2019-11-11,0.1,0.5,0.0
2019-11-12,0.0,0.0,0.0
2019-11-13,7.5,0.0,5.1
2019-11-14,0.0,0.0,0.0
2019-11-15,18.099999999999998,11.1,2.1999999999999997
2019-11-16,0.0,0.0,0.0
2019-11-17,18.0,0.0,10.2
2019-11-18,0.0,2.3,0.0
2019-11-19,0.0,0.0,0.0
2019-11-20,0.0,0.0,0.0
2019-11-21,0.0,0.0,0.0
2019-11-22,0.0,0.0,0.0
2019-11-23,0.0,0.0,0.0
2019-11-24,3.8,0.0,3.1
2019-11-25,0.0,0.0,0.0
2019-11-26,0.0,0.0,0.0
2019-11-27,0.0,0.0,0.0
2019-11-28,0.0,0.0,0.0
2019-11-29,0.0,0.0,0.0
2019-11-30,0.0,0.0,0.0
2019-12-01,3.2999999999999994,0.1,1.2000000000000002
2019-12-02,0.0,0.0,0.0
2019-12-03,0.0,0.0,0.0
2019-12-04,0.0,0.0,0.0
2019-12-05,0.0,0.0,0.0
2019-12-06,0.0,0.0,0.0
2019-12-07,0.1,0.0,0.0
2019-12-08,0.0,0.0,0.0
2019-12-09,0.0,0.0,0.0
2019-12-10,0.0,1.0,0.0
2019-12-11,0.2,0.2,0.0
2019-12-12,0.0,0.0,0.0
2019-12-13,0.0,0.0,0.0
2019-12-14,0.0,0.0,0.0
2019-12-15,0.0,0.0,0.0
2019-12-16,0.0,0.0,0.0
2019-12-17,7.6,9.7,0.0
2019-12-18,0.0,0.0,0.0
2019-12-19,0.0,0.0,0.0
2019-12-20,0.0,0.0,0.0
2019-12-21,0.6000000000000001,0.0,0.4
2019-12-22,0.0,0.0,0.0
2019-12-23,0.0,0.0,0.0
2019-12-24,0.0,0.0,0.0
2019-12-25,0.0,0.0,0.0
2019-12-26,0.30000000000000004,0.1,0.0
2019-12-27,0.0,0.0,0.0
2019-12-28,0.0,0.0,0.0
2019-12-29,0.4,0.0,0.4
2019-12-30,0.3,0.0,0.0
2019-12-31,0.0,0.0,0.0
