지점,지점명,일시,강수량(mm)
108,서울,2019-08-27 8:00,0
108,서울,2019-08-29 11:00,20.4
108,서울,2019-08-29 12:00,14.6
108,서울,2019-08-29 13:00,1
108,서울,2019-08-29 14:00,0.7
108,서울,2019-08-29 19:00,0.2
108,서울,2019-08-29 20:00,0
108,서울,2019-08-30 6:00,0
108,서울,2019-08-30 17:00,0.2
108,서울,2019-08-30 18:00,0
108,서울,2019-08-30 20:00,0
108,서울,2019-09-03 6:00,0
108,서울,2019-09-03 7:00,0
108,서울,2019-09-03 8:00,0
108,서울,2019-09-03 19:00,0
108,서울,2019-09-03 20:00,0
108,서울,2019-09-04 3:00,0
108,서울,2019-09-04 4:00,0
108,서울,2019-09-04 7:00,0.4
108,서울,2019-09-04 8:00,0.7
108,서울,2019-09-04 9:00,0.7
108,서울,2019-09-04 10:00,1.4
108,서울,2019-09-04 11:00,2.6
108,서울,2019-09-04 12:00,4
108,서울,2019-09-04 13:00,2.1
108,서울,2019-09-04 14:00,0.5
108,서울,2019-09-04 15:00,1.7
108,서울,2019-09-04 16:00,0.1
108,서울,2019-09-04 18:00,0
108,서울,2019-09-04 19:00,6.8
108,서울,2019-09-04 20:00,1.7
108,서울,2019-09-05 5:00,0
108,서울,2019-09-05 6:00,0.2
108,서울,2019-09-05 7:00,0.5
108,서울,2019-09-05 8:00,0.1
108,서울,2019-09-05 9:00,0.2
108,서울,2019-09-05 13:00,0
108,서울,2019-09-05 14:00,9.6
108,서울,2019-09-05 15:00,16.3
108,서울,2019-09-05 16:00,3.4
108,서울,2019-09-05 17:00,5
108,서울,2019-09-05 18:00,1.1
108,서울,2019-09-05 19:00,0
108,서울,2019-09-06 3:00,0
108,서울,2019-09-06 4:00,0
108,서울,2019-09-06 5:00,0
108,서울,2019-09-06 20:00,0.2
108,서울,2019-09-06 21:00,0.1
108,서울,2019-09-06 22:00,2
108,서울,2019-09-06 23:00,0.1
108,서울,2019-09-07 0:00,0
108,서울,2019-09-07 1:00,0.1
108,서울,2019-09-07 2:00,0
108,서울,2019-09-07 3:00,0.1
108,서울,2019-09-07 4:00,0.3
108,서울,2019-09-07 5:00,0
108,서울,2019-09-07 6:00,0
108,서울,2019-09-07 7:00,0
108,서울,2019-09-07 11:00,0
108,서울,2019-09-07 12:00,0.1
108,서울,2019-09-07 13:00,0.3
108,서울,2019-09-07 14:00,0
108,서울,2019-09-07 15:00,0
108,서울,2019-09-07 16:00,0.6
108,서울,2019-09-07 17:00,0
108,서울,2019-09-07 18:00,0.4
108,서울,2019-09-07 19:00,0.5
108,서울,2019-09-07 20:00,0.1
108,서울,2019-09-07 21:00,0.2
108,서울,2019-09-07 22:00,0
108,서울,2019-09-07 23:00,0
108,서울,2019-09-08 0:00,0.1
108,서울,2019-09-08 1:00,0
108,서울,2019-09-09 7:00,0
108,서울,2019-09-09 8:00,0
108,서울,2019-09-09 15:00,0
108,서울,2019-09-09 16:00,0
108,서울,2019-09-09 20:00,0
108,서울,2019-09-09 21:00,0
108,서울,2019-09-10 1:00,0
108,서울,2019-09-10 2:00,0.3
108,서울,2019-09-10 3:00,1.9
108,서울,2019-09-10 4:00,5.3
108,서울,2019-09-10 5:00,9.6
108,서울,2019-09-10 6:00,10.2
108,서울,2019-09-10 7:00,4.8
108,서울,2019-09-10 8:00,0.2
108,서울,2019-09-10 9:00,0
108,서울,2019-09-10 10:00,0.3
108,서울,2019-09-10 13:00,0.1
108,서울,2019-09-10 14:00,0.7
108,서울,2019-09-10 15:00,4.3
108,서울,2019-09-10 16:00,0
108,서울,2019-09-10 17:00,7.2
108,서울,2019-09-10 18:00,4.9
108,서울,2019-09-10 19:00,0.7
108,서울,2019-09-10 20:00,1.6
108,서울,2019-09-10 21:00,0.3
108,서울,2019-09-10 22:00,7.7
108,서울,2019-09-10 23:00,2.5
108,서울,2019-09-11 0:00,0.6
108,서울,2019-09-11 1:00,2.2
108,서울,2019-09-11 2:00,2
108,서울,2019-09-11 3:00,2.3
108,서울,2019-09-11 4:00,0.9
108,서울,2019-09-11 5:00,0.1
108,서울,2019-09-11 6:00,0
108,서울,2019-09-11 7:00,0.1
108,서울,2019-09-12 12:00,0
108,서울,2019-09-12 13:00,0
108,서울,2019-09-12 14:00,0
108,서울,2019-09-12 16:00,0
108,서울,2019-09-12 17:00,0.2
108,서울,2019-09-12 18:00,0.6
108,서울,2019-09-12 19:00,1.1
108,서울,2019-09-12 20:00,0.3
108,서울,2019-09-12 21:00,0.7
108,서울,2019-09-12 22:00,0.5
108,서울,2019-09-12 23:00,0.5
108,서울,2019-09-13 0:00,0
108,서울,2019-09-13 1:00,0.1
108,서울,2019-09-14 14:00,0
108,서울,2019-09-14 15:00,0.3
108,서울,2019-09-14 16:00,0
108,서울,2019-09-14 19:00,0
108,서울,2019-09-14 21:00,0
108,서울,2019-09-22 6:00,0.2
108,서울,2019-09-22 7:00,0
108,서울,2019-09-22 14:00,0
108,서울,2019-09-22 15:00,0.1
108,서울,2019-09-22 16:00,0.1
108,서울,2019-09-22 17:00,0
108,서울,2019-09-22 18:00,0
108,서울,2019-09-22 19:00,0
108,서울,2019-10-02 4:00,2.6
108,서울,2019-10-02 5:00,2
108,서울,2019-10-02 12:00,0
108,서울,2019-10-02 13:00,0
108,서울,2019-10-02 14:00,0.7
108,서울,2019-10-02 15:00,1.4
108,서울,2019-10-02 16:00,0.7
108,서울,2019-10-02 17:00,1.6
108,서울,2019-10-02 18:00,1.7
108,서울,2019-10-02 19:00,1.7
108,서울,2019-10-02 20:00,2.1
108,서울,2019-10-02 21:00,1.7
108,서울,2019-10-02 22:00,2
108,서울,2019-10-02 23:00,3.1
108,서울,2019-10-03 0:00,1.8
108,서울,2019-10-03 1:00,1.7
108,서울,2019-10-03 2:00,1.3
108,서울,2019-10-03 3:00,0.7
108,서울,2019-10-03 4:00,0.6
108,서울,2019-10-03 5:00,0.2
108,서울,2019-10-03 6:00,0
108,서울,2019-10-03 7:00,0.1
108,서울,2019-10-03 8:00,0
108,서울,2019-10-03 9:00,0
108,서울,2019-10-05 8:00,0.5
108,서울,2019-10-05 9:00,0.1
108,서울,2019-10-05 10:00,0
108,서울,2019-10-05 16:00,0
108,서울,2019-10-05 17:00,0
108,서울,2019-10-07 1:00,0
108,서울,2019-10-07 2:00,0
