지점,지점명,일시,강수량(mm),강수량 QC플래그
108,서울,2018-02-28 20:00,,9
108,서울,2018-02-28 21:00,9,0
108,서울,2018-02-28 22:00,,9
108,서울,2018-02-28 23:00,,9
108,서울,2018-03-01 0:00,2,0
108,서울,2018-03-01 1:00,,9
108,서울,2018-03-01 2:00,,9
108,서울,2018-03-01 3:00,0.1,0
108,서울,2018-03-01 4:00,,9
108,서울,2018-03-01 5:00,,9
108,서울,2018-03-01 6:00,0.4,0
108,서울,2018-03-01 7:00,,9
108,서울,2018-03-01 8:00,,9
108,서울,2018-03-01 9:00,0,0
108,서울,2018-03-01 10:00,,9
108,서울,2018-03-01 11:00,,9
108,서울,2018-03-01 12:00,,9
108,서울,2018-03-01 13:00,,9
108,서울,2018-03-01 14:00,,9
108,서울,2018-03-01 15:00,,9
108,서울,2018-03-01 16:00,,9
108,서울,2018-03-01 17:00,,9
108,서울,2018-03-01 18:00,,9
108,서울,2018-03-01 19:00,,9
108,서울,2018-03-01 20:00,,9
108,서울,2018-03-01 21:00,,9
108,서울,2018-03-01 22:00,,9
108,서울,2018-03-01 23:00,,9
108,서울,2018-03-02 0:00,,9
108,서울,2018-03-03 23:00,,9
108,서울,2018-03-04 0:00,0,0
108,서울,2018-03-04 1:00,,9
108,서울,2018-03-04 2:00,,9
108,서울,2018-03-04 3:00,0.1,0
108,서울,2018-03-04 4:00,,9
108,서울,2018-03-04 5:00,,9
108,서울,2018-03-04 6:00,0.2,0
108,서울,2018-03-04 7:00,,9
108,서울,2018-03-04 8:00,,9
108,서울,2018-03-04 9:00,0.2,0
108,서울,2018-03-04 10:00,,9
108,서울,2018-03-04 11:00,,9
108,서울,2018-03-04 12:00,,9
108,서울,2018-03-04 13:00,,9
108,서울,2018-03-04 14:00,,9
108,서울,2018-03-04 15:00,0,0
108,서울,2018-03-04 16:00,,9
108,서울,2018-03-04 17:00,,9
108,서울,2018-03-04 18:00,0,0
108,서울,2018-03-04 19:00,,9
108,서울,2018-03-04 20:00,,9
108,서울,2018-03-04 21:00,2,0
108,서울,2018-03-04 22:00,,9
108,서울,2018-03-04 23:00,,9
108,서울,2018-03-05 0:00,9,0
108,서울,2018-03-05 1:00,,9
108,서울,2018-03-05 2:00,,9
108,서울,2018-03-05 3:00,1.5,0
108,서울,2018-03-05 4:00,,9
108,서울,2018-03-05 5:00,,9
108,서울,2018-03-05 6:00,2,0
108,서울,2018-03-05 7:00,,9
108,서울,2018-03-05 8:00,,9
108,서울,2018-03-05 9:00,0,0
108,서울,2018-03-05 10:00,,9
108,서울,2018-03-05 11:00,,9
108,서울,2018-03-05 12:00,0,0
108,서울,2018-03-05 13:00,,9
108,서울,2018-03-05 14:00,,9
108,서울,2018-03-05 15:00,,9
108,서울,2018-03-05 16:00,,9
108,서울,2018-03-05 17:00,,9
108,서울,2018-03-05 18:00,,9
108,서울,2018-03-05 19:00,,9
108,서울,2018-03-05 20:00,,9
108,서울,2018-03-05 21:00,,9
108,서울,2018-03-05 22:00,,9
108,서울,2018-03-05 23:00,,9
108,서울,2018-03-06 0:00,,9
108,서울,2018-03-07 21:00,0,0
108,서울,2018-03-07 22:00,,9
108,서울,2018-03-07 23:00,,9
108,서울,2018-03-08 0:00,0.5,0
108,서울,2018-03-08 1:00,,9
108,서울,2018-03-08 2:00,,9
108,서울,2018-03-08 3:00,2,0
108,서울,2018-03-08 4:00,,9
108,서울,2018-03-08 5:00,,9
108,서울,2018-03-08 6:00,1.5,0
108,서울,2018-03-08 7:00,,9
108,서울,2018-03-08 8:00,,9
108,서울,2018-03-08 9:00,0.5,0
108,서울,2018-03-08 10:00,,9
108,서울,2018-03-08 11:00,,9
108,서울,2018-03-08 12:00,0,0
108,서울,2018-03-08 13:00,,9
108,서울,2018-03-08 14:00,,9
108,서울,2018-03-08 15:00,,9
108,서울,2018-03-08 16:00,,9
108,서울,2018-03-08 17:00,,9
108,서울,2018-03-08 18:00,,9
108,서울,2018-03-08 19:00,,9
108,서울,2018-03-08 20:00,,9
108,서울,2018-03-08 21:00,,9
108,서울,2018-03-08 22:00,,9
108,서울,2018-03-08 23:00,,9
108,서울,2018-03-09 0:00,,9
108,서울,2018-03-15 3:00,0,0
108,서울,2018-03-15 4:00,,9
108,서울,2018-03-15 5:00,,9
108,서울,2018-03-15 6:00,8,0
108,서울,2018-03-15 7:00,,9
108,서울,2018-03-15 8:00,,9
108,서울,2018-03-15 9:00,17,0
108,서울,2018-03-15 10:00,,9
108,서울,2018-03-15 11:00,,9
108,서울,2018-03-15 12:00,2,0
108,서울,2018-03-15 13:00,,9
108,서울,2018-03-15 14:00,,9
108,서울,2018-03-15 15:00,0,0
108,서울,2018-03-15 16:00,,9
108,서울,2018-03-15 17:00,,9
108,서울,2018-03-15 18:00,0,0
108,서울,2018-03-15 19:00,,9
108,서울,2018-03-15 20:00,,9
108,서울,2018-03-15 21:00,0,0
108,서울,2018-03-15 22:00,,9
108,서울,2018-03-15 23:00,,9
108,서울,2018-03-16 0:00,,9
108,서울,2018-03-18 17:00,,9
108,서울,2018-03-18 18:00,0,0
108,서울,2018-03-18 19:00,,9
108,서울,2018-03-18 20:00,,9
108,서울,2018-03-18 21:00,0,0
108,서울,2018-03-18 22:00,,9
108,서울,2018-03-18 23:00,,9
108,서울,2018-03-19 0:00,0.5,0
108,서울,2018-03-19 1:00,,9
108,서울,2018-03-19 2:00,,9
108,서울,2018-03-19 3:00,0.3,0
108,서울,2018-03-19 4:00,,9
108,서울,2018-03-19 5:00,,9
108,서울,2018-03-19 6:00,0.2,0
108,서울,2018-03-19 7:00,,9
108,서울,2018-03-19 8:00,,9
108,서울,2018-03-19 9:00,0.5,0
108,서울,2018-03-19 10:00,,9
108,서울,2018-03-19 11:00,,9
108,서울,2018-03-19 12:00,0,0
108,서울,2018-03-19 13:00,,9
108,서울,2018-03-19 14:00,,9
108,서울,2018-03-19 15:00,0,0
108,서울,2018-03-19 16:00,,9
108,서울,2018-03-19 17:00,,9
108,서울,2018-03-19 18:00,0,0
108,서울,2018-03-19 19:00,,9
108,서울,2018-03-19 20:00,,9
108,서울,2018-03-19 21:00,,9
108,서울,2018-03-19 22:00,,9
108,서울,2018-03-19 23:00,,9
108,서울,2018-03-20 0:00,,9
108,서울,2018-03-21 11:00,,9
108,서울,2018-03-21 12:00,0,0
108,서울,2018-03-21 13:00,,9
108,서울,2018-03-21 14:00,,9
108,서울,2018-03-21 15:00,0.5,0
108,서울,2018-03-21 16:00,,9
108,서울,2018-03-21 17:00,,9
108,서울,2018-03-21 18:00,0,0
108,서울,2018-03-21 19:00,,9
108,서울,2018-03-21 20:00,,9
108,서울,2018-03-21 21:00,0.5,0
108,서울,2018-03-21 22:00,,9
108,서울,2018-03-21 23:00,,9
108,서울,2018-03-22 0:00,,9
108,서울,2018-04-03 10:00,0,0
108,서울,2018-04-03 11:00,,9
108,서울,2018-04-03 12:00,,9
108,서울,2018-04-03 13:00,,9
108,서울,2018-04-03 14:00,,9
108,서울,2018-04-03 15:00,0,0
108,서울,2018-04-03 16:00,,9
108,서울,2018-04-03 17:00,,9
108,서울,2018-04-03 18:00,,9
108,서울,2018-04-03 19:00,,9
108,서울,2018-04-03 20:00,,9
108,서울,2018-04-03 21:00,,9
108,서울,2018-04-03 22:00,0,0
108,서울,2018-04-03 23:00,0,0
108,서울,2018-04-04 0:00,0.1,0
108,서울,2018-04-04 1:00,0,0
108,서울,2018-04-04 2:00,3.5,0
108,서울,2018-04-04 3:00,7,0
108,서울,2018-04-04 4:00,3,0
108,서울,2018-04-04 5:00,3,0
108,서울,2018-04-04 6:00,2,0
108,서울,2018-04-04 7:00,,9
108,서울,2018-04-04 8:00,,9
108,서울,2018-04-04 9:00,,9
108,서울,2018-04-04 10:00,0,0
108,서울,2018-04-04 11:00,,9
108,서울,2018-04-04 12:00,,9
108,서울,2018-04-04 13:00,,9
108,서울,2018-04-04 14:00,,9
108,서울,2018-04-04 15:00,,9
108,서울,2018-04-04 16:00,,9
108,서울,2018-04-04 17:00,,9
108,서울,2018-04-04 18:00,,9
108,서울,2018-04-04 19:00,,9
108,서울,2018-04-04 20:00,,9
108,서울,2018-04-04 21:00,,9
108,서울,2018-04-04 22:00,,9
108,서울,2018-04-04 23:00,,9
108,서울,2018-04-05 0:00,,9
108,서울,2018-04-05 5:00,0.1,0
108,서울,2018-04-05 6:00,0.4,0
108,서울,2018-04-05 7:00,1.5,0
108,서울,2018-04-05 8:00,2,0
108,서울,2018-04-05 9:00,0,0
108,서울,2018-04-05 10:00,0,0
108,서울,2018-04-05 11:00,0,0
108,서울,2018-04-05 12:00,0.5,0
108,서울,2018-04-05 13:00,0,0
108,서울,2018-04-05 14:00,0,0
108,서울,2018-04-05 15:00,0.5,0
108,서울,2018-04-05 16:00,1,0
108,서울,2018-04-05 17:00,1,0
108,서울,2018-04-05 18:00,0,0
108,서울,2018-04-05 19:00,1.5,0
108,서울,2018-04-05 20:00,0,0
108,서울,2018-04-05 21:00,1,0
108,서울,2018-04-05 22:00,0,0
108,서울,2018-04-05 23:00,0.5,0
108,서울,2018-04-06 0:00,0.5,0
108,서울,2018-04-06 1:00,0.5,0
108,서울,2018-04-06 2:00,1.5,0
108,서울,2018-04-06 3:00,2,0
108,서울,2018-04-06 4:00,2,0
108,서울,2018-04-06 5:00,0.5,0
108,서울,2018-04-06 6:00,,9
108,서울,2018-04-06 7:00,,9
108,서울,2018-04-06 8:00,,9
108,서울,2018-04-06 9:00,,9
108,서울,2018-04-06 10:00,,9
108,서울,2018-04-06 11:00,,9
108,서울,2018-04-06 12:00,,9
108,서울,2018-04-06 13:00,,9
108,서울,2018-04-06 14:00,,9
108,서울,2018-04-06 15:00,,9
108,서울,2018-04-06 16:00,,9
108,서울,2018-04-06 17:00,,9
108,서울,2018-04-06 18:00,,9
108,서울,2018-04-06 19:00,,9
108,서울,2018-04-06 20:00,,9
108,서울,2018-04-06 21:00,,9
108,서울,2018-04-06 22:00,,9
108,서울,2018-04-06 23:00,0,0
108,서울,2018-04-07 0:00,0,0
108,서울,2018-04-07 2:00,0,0
108,서울,2018-04-07 3:00,0.1,0
108,서울,2018-04-07 4:00,0.1,0
108,서울,2018-04-07 5:00,,9
108,서울,2018-04-07 6:00,,9
108,서울,2018-04-07 7:00,,9
108,서울,2018-04-07 8:00,,9
108,서울,2018-04-07 9:00,,9
108,서울,2018-04-07 10:00,,9
108,서울,2018-04-07 11:00,,9
108,서울,2018-04-07 12:00,,9
108,서울,2018-04-07 13:00,,9
108,서울,2018-04-07 14:00,,9
108,서울,2018-04-07 15:00,,9
